domain,org_type,org_name,source,source_ref,is_active,notes
ekebyskola.se,enskild_huvudman,SUNNE FRISKOLEFÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8740013381,true,
eketangamontessori.se,enskild_huvudman,IDEELLA FÖRENINGEN EKETÅNGA MONTESSORISKOLA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8492017143,true,
ekgarden.se,enskild_huvudman,RUDOLF STEINER STIFTELSEN FÖR LÄKEPEDAGOGIK,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8156005509,true,
ekoskolan.se,enskild_huvudman,FÖRENINGEN VÄSTRA EKOSKOLAN,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8124010839,true,
eks.se,enskild_huvudman,STIFTELSEN ELLEN KEY SKOLAN,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8152007970,true,
elektrikergymnasiet.se,enskild_huvudman,Stockholms El-utbildning AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566814801,true,
elevverket.se,enskild_huvudman,DANDERYDS ENSKILDA SKOLA AKTIEBOLAG,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5563210706,true,
elmaschool.se,enskild_huvudman,English School Scandinavia AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566531421,false,
emiliaskolan.nu,enskild_huvudman,FÖRENINGEN EMILIASKOLAN,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8420007984,true,
energigymnasiet.se,enskild_huvudman,Energy Technology Sweden AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567246243,false,
engelska.se,enskild_huvudman,Internationella Engelska Skolan i Sverige AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5564624368,true,
enskildagrund.se,enskild_huvudman,Nyköpings Enskilda Grundskola AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5590689559,true,
enskildagymnasiet.se,enskild_huvudman,ENSKILDA GYMNASIET,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8020126531,true,
entreskolan.se,enskild_huvudman,AmiSgo AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568148117,true,
