domain,org_type,org_name,source,source_ref,is_active,notes
skara.se,kommun,Skara kommun,skr_kommunlista,http://www.skara.se/,true,
skelleftea.se,kommun,Skellefteå kommun,skr_kommunlista,http://www.skelleftea.se/,true,
skinnskatteberg.se,kommun,Skinnskatteberg kommun,skr_kommunlista,http://www.skinnskatteberg.se/,true,
skurup.se,kommun,Skurup kommun,skr_kommunlista,http://www.skurup.se/,true,
skovde.se,kommun,Skövde kommun,skr_kommunlista,http://www.skovde.se/,true,
smedjebacken.se,kommun,Smedjebacken kommun,skr_kommunlista,http://www.smedjebacken.se/,true,
solleftea.se,kommun,Sollefteå kommun,skr_kommunlista,https://www.solleftea.se/,true,
sollentuna.se,kommun,Sollentuna kommun,skr_kommunlista,http://www.sollentuna.se/,true,
solna.se,kommun,Solna kommun,skr_kommunlista,http://www.solna.se/,true,
sorsele.se,kommun,Sorsele kommun,skr_kommunlista,http://www.sorsele.se/,true,
sotenas.se,kommun,Sotenäs kommun,skr_kommunlista,http://www.sotenas.se/,true,
staffanstorp.se,kommun,Staffanstorp kommun,skr_kommunlista,http://www.staffanstorp.se/,true,
stenungsund.se,kommun,Stenungsund kommun,skr_kommunlista,http://www.stenungsund.se/,true,
stockholm.se,kommun,Stockholm kommun,skr_kommunlista,http://www.stockholm.se/,true,
storfors.se,kommun,Storfors kommun,skr_kommunlista,http://www.storfors.se/,true,
storuman.se,kommun,Storuman kommun,skr_kommunlista,http://www.storuman.se/,true,
strangnas.se,kommun,Strängnäs kommun,skr_kommunlista,http://www.strangnas.se/,true,
stromstad.se,kommun,Strömstad kommun,skr_kommunlista,http://www.stromstad.se/,true,
stromsund.se,kommun,Strömsund kommun,skr_kommunlista,http://www.stromsund.se/,true,
sundbyberg.se,kommun,Sundbyberg kommun,skr_kommunlista,http://www.sundbyberg.se/,true,
sundsvall.se,kommun,Sundsvall kommun,skr_kommunlista,https://sundsvall.se/,true,
sunne.se,kommun,Sunne kommun,skr_kommunlista,http://www.sunne.se/,true,
surahammar.se,kommun,Surahammar kommun,skr_kommunlista,http://www.surahammar.se/,true,
svalov.se,kommun,Svalöv kommun,skr_kommunlista,http://www.svalov.se/,true,
svedala.se,kommun,Svedala kommun,skr_kommunlista,http://www.svedala.se/,true,
svenljunga.se,kommun,Svenljunga kommun,skr_kommunlista,https://www.svenljunga.se/,true,
saffle.se,kommun,Säffle kommun,skr_kommunlista,http://www.saffle.se/,true,
sater.se,kommun,Säter kommun,skr_kommunlista,http://www.sater.se/,true,
savsjo.se,kommun,Sävsjö kommun,skr_kommunlista,http://www.savsjo.se/,true,
soderhamn.se,kommun,Söderhamn kommun,skr_kommunlista,http://www.soderhamn.se/,true,
soderkoping.se,kommun,Söderköping kommun,skr_kommunlista,http://www.soderkoping.se/,true,
sodertalje.se,kommun,Södertälje kommun,skr_kommunlista,http://www.sodertalje.se/,true,
solvesborg.se,kommun,Sölvesborg kommun,skr_kommunlista,http://www.solvesborg.se/,true,
tanum.se,kommun,Tanum kommun,skr_kommunlista,http://www.tanum.se/,true,
tibro.se,kommun,Tibro kommun,skr_kommunlista,http://www.tibro.se/,true,
tidaholm.se,kommun,Tidaholm kommun,skr_kommunlista,http://www.tidaholm.se/,true,
tierp.se,kommun,Tierp kommun,skr_kommunlista,http://www.tierp.se/,true,
timra.se,kommun,Timrå kommun,skr_kommunlista,http://www.timra.se/,true,
tingsryd.se,kommun,Tingsryd kommun,skr_kommunlista,http://www.tingsryd.se/,true,
tjorn.se,kommun,Tjörn kommun,skr_kommunlista,http://www.tjorn.se/,true,
tomelilla.se,kommun,Tomelilla kommun,skr_kommunlista,http://www.tomelilla.se/,true,
torsby.se,kommun,Torsby kommun,skr_kommunlista,http://www.torsby.se/,true,
torsas.se,kommun,Torsås kommun,skr_kommunlista,https://www.torsas.se/,true,
tranemo.se,kommun,Tranemo kommun,skr_kommunlista,http://www.tranemo.se/,true,
tranas.se,kommun,Tranås kommun,skr_kommunlista,http://www.tranas.se/,true,
trelleborg.se,kommun,Trelleborg kommun,skr_kommunlista,http://www.trelleborg.se/,true,
trollhattan.se,kommun,Trollhättan kommun,skr_kommunlista,http://www.trollhattan.se/,true,
trosa.se,kommun,Trosa kommun,skr_kommunlista,http://www.trosa.se/,true,
tyreso.se,kommun,Tyresö kommun,skr_kommunlista,http://www.tyreso.se/,true,
taby.se,kommun,Täby kommun,skr_kommunlista,http://www.taby.se/,true,
toreboda.se,kommun,Töreboda kommun,skr_kommunlista,http://www.toreboda.se/,true,
uddevalla.se,kommun,Uddevalla kommun,skr_kommunlista,http://www.uddevalla.se/,true,
ulricehamn.se,kommun,Ulricehamn kommun,skr_kommunlista,http://www.ulricehamn.se/,true,
umea.se,kommun,Umeå kommun,skr_kommunlista,http://www.umea.se/,true,
